2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
48884011.666666664,47698991.332077116,46719613.27035537,46480175.817063965,49614518.66404715,49010422.70742358,47487718.6204297,48435864.07593123,47657921.85420092,46696956.594744354,46107066.04977664,46926966.47911879,47184017.651926085,47791415.42237677,46857343.11328443
46464948.333333336,47895182.084360056,46797992.57759784,48273850.717290476,45594140.47151277,45468044.54148471,47860870.712401055,46634546.0243553,48670142.82358468,46915094.45050793,48386970.42118698,46926204.45360171,49522149.489749014,46698650.03068112,44569145.88427058
47127651.666666664,47455574.72097406,49666867.02654071,47909606.2992126,47963261.29666012,47595945.851528384,45785030.15454203,49262677.29226361,48106113.06867121,47975243.892200485,48831554.72239949,47408423.93216578,46851815.905120894,44862281.65268971,48219478.402607985
48149865.0,49261211.76982171,46546404.63337832,48999886.7436091,46374666.40471513,47719340.61135371,46752689.40821711,47140533.66762178,46258035.39268655,46600042.918310806,47505102.10593491,48342871.859893814,47555980.509331614,50088627.531192474,45516598.207008965
49519618.333333336,48474384.69343383,46188879.89203779,47857598.964513,46210106.09037328,48369464.62882096,48437402.374670185,47539988.35959885,47510618.58899068,47932969.52396944,45476984.68410976,46330299.548300184,46983495.44911281,48002540.39680916,45718728.60635697
47359381.666666664,45610144.948543265,45609894.28699955,48775032.89828497,53874768.17288802,51965272.48908297,47883058.95212966,46870912.428366765,49890240.388379924,47858567.71051969,46141908.9023612,46513009.74720659,46914305.782844536,46783047.65800777,49269390.38304809
46671283.333333336,49437602.55109436,46551682.411156096,45591691.29543739,46038032.53438114,48421661.13537118,48606777.23332077,47435799.606017195,48498809.02043693,49048024.011418015,47831693.52265476,56526677.23274428,46684928.74873587,47259203.31356105,49234440.09779951
49558323.333333336,45946224.09044789,46436238.19163293,47574617.62485169,49244776.031434186,47281165.938864626,50223240.67093856,47518965.79512894,48401353.84856315,47286630.84543699,47470767.38991704,48104441.2394009,48687934.17302565,48310927.59255472,48735647.92176039
46546983.333333336,48511403.10189883,47080248.53801169,47604853.84532413,45783074.7740668,49593896.069869,46150694.49679608,46478373.173352435,47300028.1888654,46411568.29821174,46945947.67070836,49289217.05364926,48782686.40250069,45616054.40785436,46232386.30806846
49558949.266666666,48064571.67705464,46940364.372469634,48439745.44277856,52903841.84675835,49476317.90393013,50823861.666038446,47645286.891117476,47916290.032103986,50078323.39853916,47606514.16719847,46421596.798478484,47884844.16659005,46820915.320106365,44475171.96414018
45588558.333333336,47552039.42600377,49294112.685560055,49267862.15079279,48807582.514734775,46657961.572052404,47293120.99509989,46074710.780802295,48587524.07798919,47000371.92511124,47397190.49138481,45956690.704493225,47611111.51972051,52647285.86623032,47027202.93398533
46302535.0,48749227.42426439,50134694.107062526,46880440.081976056,46902780.11787819,46434965.938864626,46431511.49641915,48681883.95415473,47460827.656409055,47104266.6442784,46858771.53797065,47736109.041920915,46998299.53112071,47606820.41317243,45877568.05215974
46682610.0,47614323.81504566,47071905.08322087,46221792.68687305,48351251.47347741,47590614.84716157,45494986.807387866,45327942.33524355,46759611.62007674,49389021.07295777,48459926.61135928,45077934.067675725,48118835.15675278,49874704.43853549,49759760.39119805
46804063.333333336,44964162.92216263,47702199.73009447,50178375.57976486,46664136.54223969,47810995.63318777,45867404.82472672,47834079.51289398,47870501.91840889,50294075.22458232,48708408.58328015,46602452.65076472,45993888.93996506,47968302.3113111,46128806.84596577
47627283.333333336,48012288.73749819,47268985.60503823,46368002.37299105,48930149.31237721,46278726.637554586,46945065.02073125,48891668.15902579,47429433.87361992,45678428.44429519,55814984.04594767,51505992.550915286,46586896.20299715,48617218.24503989,47068379.78810106
48966750.0,46980805.91390056,47672553.98110661,49039222.30611584,49017167.97642436,47487466.37554585,51772370.90086694,47110862.28510029,46812865.21024195,48692771.72361682,48323699.74473517,47378398.44678659,49291233.79608348,47542829.8220495,48934542.787286066
47388636.666666664,47840588.49108566,46749233.01844355,49775387.76830979,46029270.13752456,46722424.45414847,47124275.461741425,48213912.07020057,47859625.02544828,46481938.544202834,46819731.17421825,49326833.34654093,46840109.405166864,51504164.45080794,46564257.53871231
46805298.333333336,47890031.88867952,47054723.34682861,48409325.854816094,46652325.14734774,48543777.29257642,48588531.850735016,47960395.77363897,47498945.36058257,46234899.67257157,48335213.784301214,46537663.8402409,46617654.68419601,47115710.77930047,48346365.11817441
48433875.0,44008215.85737063,46629327.48538012,48093794.628411174,46704660.11787819,49042062.88209607,47096067.772333205,47212912.78653295,47299644.50708637,44451491.89824532,48315590.29993618,47445951.34321262,53593021.972970486,46461581.100429535,47093887.53056235
45951050.2,46857498.18814321,46673968.73594242,46451905.94326394,48029542.239685655,47504225.327510916,49401215.71805503,45995450.393982805,46730332.7852165,47448516.49735539,45758815.41161455,47736988.667881764,48214344.94805553,45486883.820822254,47572661.77669112
46327718.333333336,49798430.20727642,50578219.748088166,46722069.89537267,48211468.56581532,49034555.80786026,46606850.735016964,47428432.127507165,48927178.76438807,47536972.54638569,46916474.95213784,47296717.64799112,46669850.14250253,46498450.60339538,46291957.6202119
49955727.333333336,47455016.66908248,44821523.84165542,47166815.87746737,44981749.90176817,46784958.951965064,47666368.26234452,48017390.90257879,46689496.51554303,49555126.35379061,46522810.306317806,45414540.77185197,48840456.008090466,47601034.97647781,48229677.26161369
48811866.666666664,46202464.12523554,45218535.76248313,45782597.34656455,46618743.61493124,48155575.650655024,49178398.03995477,45388645.48710602,47234443.661420405,49539304.00470154,46495701.49968092,47696572.62857596,46869106.37124207,47131843.9353651,49127310.51344743
46253565.0,45978154.97898246,46449261.13360324,47778921.49714162,46481820.23575638,48933352.838427946,46292940.06784772,46669493.194842406,47218154.50630334,47146128.788514815,46537605.296745375,48710200.61811554,48335250.528638415,48118325.95622827,47687646.29176854
59587506.666666664,51807362.74822438,47494144.17453891,47439393.93808651,48128438.11394892,48105252.40174673,47686741.42480211,48201404.01146132,48559433.09059588,48421887.331038535,47486262.763241865,46972012.045328476,49062811.43697711,47877128.247085296,49731714.75142624
50286613.333333336,44718349.036092184,49512967.83625731,45254325.31549995,47385581.5324165,47628670.74235808,46774472.29551451,52555697.528653294,47814127.31970871,46533052.64041642,48281592.214422464,48579850.22584991,50150377.8615427,50667835.95827368,50249258.35370823
47138018.333333336,47991850.99289752,48802158.11965812,49004804.22823859,46032889.98035363,49567340.61135371,47032912.74029401,48619488.71776504,49189273.35369196,47929525.64856015,53707213.62476069,49646711.62532689,48060259.26266434,46016791.77745961,46499656.07171964
48138856.86666667,48610850.847948976,47831203.328834906,45020941.64599288,46848673.04518664,49087856.76855895,47540651.149641916,46596879.477077365,48270330.43614439,48530816.522542186,47716868.21952776,47900096.67961011,48787801.783580035,48165938.965023525,47351427.87286063
49123803.333333336,46355455.863168575,47305091.22807018,49070103.72128142,47031487.229862474,48399765.938864626,50042968.33773087,45659265.759312324,47413652.80714118,47067324.65787927,48401446.23484365,47039264.60099849,48032029.052128345,47078003.6817345,46183013.85493073
46614622.333333336,48384697.782287285,48295746.73864148,46194642.433394454,58850266.20825148,48339466.37554585,48552808.141726345,47866965.43696275,49267345.54850834,46124354.7980858,47546379.22782387,52854956.018701956,47151580.39900708,48134032.52198814,50092643.84678077
47150771.666666664,47805892.15828381,47539818.93837157,45519256.95178514,48925806.48330059,48024947.59825327,47107119.2989069,48784018.624641836,47095342.10320257,46069152.88388884,47821863.43331206,46561230.683889374,46684606.27011124,45731515.64737165,46780350.44824776
46278031.666666664,45367602.72503261,48791891.58794422,47916308.92028908,48012701.37524558,47808110.917030565,46743763.66377686,50746229.40544412,47206895.309686005,47528859.87742423,46227930.75941289,46668565.65496474,48489404.24749471,46016820.41317243,52024159.73920131
47297098.333333336,45743397.59385418,46439590.64327485,47538240.75072808,47743831.04125737,49472907.42358079,50616720.69355447,46497421.203438394,44410427.62508809,45738629.13273445,46667611.6783663,46946055.94738093,48126899.88048175,51150737.369605236,44988704.15647922
48081891.666666664,44053636.758950576,47431734.14304993,48618567.576313235,47321489.58742633,47301420.96069869,47147679.04259329,47703928.18767908,54106055.907916375,48450718.663420364,46712843.1078494,47128350.994532056,46717761.33124942,47515302.72039272,47697364.30317848
47188650.0,46583235.25148572,46555473.459289245,48644959.81016072,50405898.939096265,47523988.64628821,47646003.58085187,49987744.44842407,47111568.397149794,47714699.857274786,46750483.40778558,48129348.69641017,46935826.97434954,45943492.534260586,47078764.46617767
49604800.0,47650400.05797942,47857526.990553305,47327898.8242908,47746833.16306483,47574233.18777292,47930420.27892952,49136234.88538682,49482720.225510925,45939211.75384099,48175591.89534142,49033784.76899913,47955944.65385676,47659985.68214359,46303641.40179299
